"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P142872",1.69585,-4.9296,9.31815962578289,1.19860720269611e-05,0.244463556973215,2.33425233431329,"TCF7L1"
"A_23_P71530",1.01675,-5.021025,8.80649717885918,1.83503645828866e-05,0.244463556973215,2.11257477278838,"TNFRSF11B"
"A_33_P3372251",1.61915,-2.3511,7.74186893949242,4.77182883067499e-05,0.292145122470586,1.57213547036895,"HOMER1"
"A_23_P79562",1.34375,-9.6972,7.60035096412687,5.46047672321377e-05,0.292145122470586,1.49115655132087,"FABP1"
"A_23_P84118",1.3818,-4.272225,7.58537417907386,5.53956949156783e-05,0.292145122470586,1.48244959642399,"CDH18"
"A_33_P3394272",1.168,-1.954675,7.40806518392013,6.57885728427981e-05,0.292145122470586,1.37732740890981,"LINC00473"
"A_32_P51237",1.67785,-3.2968,7.08661011306408,9.05921169476047e-05,0.323401040987127,1.17678600868623,"KANK4"
"A_24_P95154",1.3477,-7.759475,7.01828496684159,9.71028497183988e-05,0.323401040987127,1.13243962325557,"TUSC3"
"A_23_P110837",0.769925000000001,-3.9631625,6.63784380776973,0.000144259233703687,0.327586870059558,0.873877573031599,"IRX4"
"A_23_P110957",0.858075,-5.5328625,6.51521282803119,0.000164466936996086,0.327586870059558,0.786163453166393,"FOXF2"
"A_33_P3249872",0.657249999999999,-3.9606,6.50246320002102,0.000166740747110316,0.327586870059558,0.776917594692658,"FBLN1"
"A_23_P202837",0.764225,-5.3223125,6.43359934134154,0.000179636315832843,0.327586870059558,0.726561287113245,"CCND1"
"A_32_P29965",1.111775,-3.4295125,6.31898704805826,0.000203602800122251,0.327586870059558,0.641171252608951,"MAGEA9"
"A_23_P135381",1.115175,-8.2522625,6.28798083331094,0.000210676485567884,0.327586870059558,0.617726641503863,"SP5"
"A_23_P83403",1.3076,-3.293825,6.16873710340392,0.000240510371756526,0.327586870059558,0.526176094700819,"LIMCH1"
"A_23_P160800",0.64005,-3.41895,6.14099913216312,0.00024809759668468,0.327586870059558,0.504560892931448,"NR0B2"
"A_23_P215790",0.7664,-3.543225,6.03243778809238,0.000280424892793168,0.327586870059558,0.418787034716397,"EGFR"
"A_24_P238250",0.785825,-1.6683875,5.96231958750416,0.000303750687575005,0.327586870059558,0.362379205459197,"LGALS7"
"A_32_P116271",1.237025,-2.7593875,5.94659601575176,0.00030926875395834,0.327586870059558,0.349620316686257,"WDFY3-AS2"
"A_23_P26847",0.570049999999999,-2.40255,5.91097782770914,0.000322180029981834,0.327586870059558,0.320568183398168,"SOX9"
"A_33_P3212109",1.539875,-4.8588625,5.88203951088887,0.000333105795770302,0.327586870059558,0.296810836155143,"DCDC2"
"A_33_P3318368",0.6047971,0.36559895,5.88163763018343,0.000333260360822556,0.327586870059558,0.296479932651933,"DOK7"
"A_23_P348383",1.2595,-3.168475,5.8525946829314,0.000344641464521665,0.327586870059558,0.272495507247902,"CC2D2A"
"A_33_P3293346",0.80305,-2.271025,5.85250017412983,0.000344679188724053,0.327586870059558,0.272417230960163,"KCTD3"
"A_33_P3300965",0.949449999999999,-4.3115,5.83519535766169,0.000351663532944573,0.327586870059558,0.258059590051275,"HOXC6"
"A_23_P94879",0.806624999999999,-7.2417375,5.81635771679241,0.000359443440874386,0.327586870059558,0.242373443566673,"F2"
"A_23_P204947",0.6311175,-1.17149125,5.81052847726819,0.00036188899283333,0.327586870059558,0.237507413111813,"GJB2"
"A_23_P342138",0.652699999999999,-1.88975,5.76935001193913,0.00037969323365581,0.327586870059558,0.202970932387915,"ADAMTSL1"
"A_33_P3399980",0.893675000000001,-5.1342625,5.739043060302,0.000393410109887538,0.327586870059558,0.177370083674994,"TYRP1"
"A_33_P3361611",1.24705,-2.242525,5.66237594181278,0.000430596080091563,0.327586870059558,0.11191234495989,"PLA2G4D"
"A_32_P452655",-0.714325,2.9517625,-5.62369361910814,0.000450805972942184,0.327586870059558,0.0785044363664049,"LGALS9C"
"A_23_P31064",0.627324999999999,-4.8074125,5.61700207424619,0.000454406266151609,0.327586870059558,0.0726991939566535,"MOXD1"
"A_23_P422724",0.818224999999999,-5.8591625,5.56339323655785,0.000484412422136683,0.327586870059558,0.0259116258850636,"PPIC"
"A_23_P116902",0.83166,-1.199595,5.53202073278129,0.000502973626448666,0.327586870059558,-0.00170035141752845,"ART4"
"A_33_P3360072",1.3072325,-1.82658375,5.52578728875453,0.000506753457823306,0.327586870059558,-0.00720704255491889,"RANBP3L"
"A_33_P3265205",1.1279,-1.8593,5.50567476831041,0.000519162702977865,0.327586870059558,-0.025020967538012,""
"A_23_P112554",0.892,-3.735775,5.47454389156573,0.000539030502660634,0.327586870059558,-0.0527337869554438,"COL15A1"
"A_23_P104762",0.5715,-3.144625,5.47117207942793,0.000541231817829739,0.327586870059558,-0.0557456065496096,"YAP1"
"A_32_P24585",0.609975,-1.5397125,5.46877536533838,0.000542802508415746,0.327586870059558,-0.0578876513588105,"SH3PXD2B"
"A_23_P20484",0.711300000000001,-4.641275,5.43385064857045,0.000566264955163023,0.327586870059558,-0.0892162610509999,"FGL1"
"A_23_P122216",0.909375,-4.6102625,5.42753439190993,0.000570625439433907,0.327586870059558,-0.0949051591512422,"LOX"
"A_23_P59261",0.658925,-3.2924125,5.39362554507947,0.000594670908656027,0.327586870059558,-0.125566917632719,"TPBG"
"A_23_P32175",0.55135,-2.197425,5.36387131415031,0.000616683927897313,0.327586870059558,-0.152640301057126,"LHX6"
"A_23_P120902",0.868599999999999,-5.3595,5.36306271719534,0.000617294443259774,0.327586870059558,-0.153378246745618,"LGALS2"
"A_32_P181527",-0.858425000000001,3.1729625,-5.35760576826664,0.00062143190862922,0.327586870059558,-0.158361446702358,"C8orf85"
"A_33_P3310104",0.675975,-2.9041875,5.34418687395452,0.000631735531276634,0.327586870059558,-0.170638003618495,"SERPINB5"
"A_32_P78681",0.511325,-2.0837875,5.32912043028618,0.000643527079661046,0.327586870059558,-0.184460260015474,"GLP2R"
"A_33_P3314952",-0.75210575,0.580737125,-5.32668294766425,0.000645457229845282,0.327586870059558,-0.186700278092411,"TRPV1"
"A_23_P251043",1.0359,-4.23975,5.32343676451717,0.000648037581279616,0.327586870059558,-0.189685137069218,"SYNDIG1"
"A_23_P216361",0.6421725,-1.15433875,5.32291581539885,0.000648452725237467,0.327586870059558,-0.190164324786442,"COL14A1"
"A_23_P312132",-1.079725,3.5766375,-5.32194201926886,0.0006492295216052,0.327586870059558,-0.191060188046581,"ITGAX"
"A_33_P3451508",0.8346,-3.523,5.31731407034062,0.000652935147511013,0.327586870059558,-0.195320088852893,""
"A_33_P3236642",0.765893,-0.4306135,5.30743241278874,0.000660924983906975,0.327586870059558,-0.204428760157054,"MIA3"
"A_23_P79518",0.607075,-1.7107625,5.29481470392755,0.000671282604787614,0.327586870059558,-0.216084977512134,"IL1B"
"A_24_P299210",0.7223275,-0.06082625,5.28690562042255,0.000677865276965369,0.327586870059558,-0.223405987378288,"TTC39A"
"A_33_P3344504",0.9224075,-1.44624625,5.27428270360533,0.000688517667142143,0.327586870059558,-0.235113695514326,"APBA2"
"A_23_P101054",0.5669225,-1.14566375,5.22328529562944,0.000733452050038849,0.340747860437399,-0.282706836906675,"KRT34"
"A_23_P123596",0.670374999999999,-3.4366625,5.21423348393523,0.000741757089977824,0.340747860437399,-0.291203671397085,"GLDC"
"A_23_P137007",0.977025,-6.0479125,5.16717164745404,0.000786622206430385,0.35093386620869,-0.33562040769945,"MAGEA10"
"A_24_P295590",-2.391675,-3.7795375,-5.16048707548578,0.000793231247742569,0.35093386620869,-0.341962044140142,"RASSF4"
"A_24_P288685",0.832375,-1.8460375,5.1473625775213,0.000806384240726881,0.35093386620869,-0.354436992358055,"IL13RA1"
"A_33_P3335735",-1.01307,0.792905,-5.1289501629241,0.000825238962170886,0.35093386620869,-0.371991312954473,"LOC100128977"
"A_33_P3303016",0.58517,-0.291055,5.12320792673746,0.000831217012317275,0.35093386620869,-0.377478652406563,"LOC100130587"
"A_33_P3423420",1.4725125,-1.33124375,5.09693759227819,0.000859174486996498,0.35093386620869,-0.402660078812926,"ZNF750"
"A_33_P3308749",0.7014975,-0.51210875,5.09216510733456,0.000864362588394946,0.35093386620869,-0.407248365273395,"LAMA4"
"A_33_P3397061",0.92973625,0.180231875,5.05755870720549,0.000903019414788916,0.35093386620869,-0.44064466680351,"LINC00051"
"A_23_P142849",0.684524999999999,-5.9062625,5.05312354231197,0.000908108283692134,0.35093386620869,-0.444940722594192,"RND3"
"A_24_P365515",0.593925,-2.3577875,5.04963155835156,0.000912136927570566,0.35093386620869,-0.448325738028241,"FOXA2"
"A_23_P18078",0.7852725,-1.10578875,5.04864528445568,0.000913278296704866,0.35093386620869,-0.449282208006328,"RARRES1"
"A_33_P3865368",0.607625,-3.4779625,5.041165503556,0.000921985086121015,0.35093386620869,-0.456541814379323,"LOC254896"
"A_24_P321766",1.13475,-6.247425,5.02132302180963,0.000945523528011705,0.354824350427378,-0.475850381936399,"SERPINA5"
"A_23_P70468",0.69559925,0.370762875,4.99766916867587,0.000974441477508558,0.357650713737663,-0.498963120221343,"OR2B6"
"A_24_P937325",1.199975,-2.0220875,4.99159279742424,0.00098202455828204,0.357650713737663,-0.504917253412956,"FGD4"
"A_23_P370682",0.7451525,-1.45574875,4.98263172619528,0.000993325056920396,0.357650713737663,-0.513710576357776,"BATF2"
"A_33_P3395547",1.1196675,-1.16611625,4.95656253582717,0.00102701224648003,0.361730908234005,-0.539376714467688,"HYALP1"
"A_24_P11315",1.05525,-3.14895,4.94840012695153,0.00103781380628439,0.361730908234005,-0.547438949792983,"OLFML3"
"A_23_P72770",0.7943,-2.402775,4.93789170269626,0.00105190222372529,0.361730908234005,-0.557836705175832,"USP44"
"A_33_P3357658",0.57653,-1.177785,4.93116482656029,0.00106102990237369,0.361730908234005,-0.564503556566485,"HMGA2"
"A_23_P128759",1.04655,-2.2229,4.91557287244357,0.00108251945997455,0.361730908234005,-0.579988882756895,"SERPINA10"
"A_23_P134454",0.6311,-5.86135,4.91299632023377,0.00108611592323677,0.361730908234005,-0.582552189644383,"CAV1"
"A_23_P159775",0.784575,-5.9420875,4.87832603314886,0.0011357945040136,0.367252516742878,-0.617165089358918,"GABRE"
"A_33_P3219279",-2.246155,1.4613225,-4.8736811332413,0.00114263558393846,0.367252516742878,-0.621819406979394,"JPH4"
"A_33_P3436935",1.11199,-1.51033,4.86839362230406,0.00115047765028079,0.367252516742878,-0.627122563230336,"LOC284930"
"A_23_P104438",0.666875000000001,-2.3008125,4.86347202868464,0.00115782958288552,0.367252516742878,-0.632063432626472,"MYPN"
"A_23_P302595",1.044525,-2.1303625,4.8302073942218,0.0012088791233777,0.369152337690414,-0.665577621175457,"C6orf218"
"A_23_P95851",0.587405,-1.3974225,4.82843961522704,0.0012116596166104,0.369152337690414,-0.66736448217927,"TUBAL3"
"A_33_P3492750",-0.5113825,0.94358375,-4.82110666421623,0.00122326780332692,0.369152337690414,-0.674782864814741,""
"A_33_P3220615",0.775224999999999,-4.7556625,4.81618124585153,0.00123113259647883,0.369152337690414,-0.679771347033367,"LIN28B"
"A_33_P3268892",0.4992275,-1.36298625,4.80108669775206,0.00125557913277039,0.369152337690414,-0.695087610862722,"GDNF"
"A_24_P236251",0.607175,-5.3406125,4.79551045418671,0.00126474308148331,0.369152337690414,-0.700756617635157,"DLK1"
"A_24_P896205",0.53445,-4.442,4.79249568011974,0.00126972775156097,0.369152337690414,-0.70382398438502,"LOC645722"
"A_33_P3378383",-0.54805,1.335175,-4.76703948939305,0.00131267766232654,0.369152337690414,-0.729792597805353,"DNM1P46"
"A_23_P22647",0.5970275,-0.94276125,4.76408165806083,0.00131776949863905,0.369152337690414,-0.732817898355361,"FAM155B"
"A_23_P157793",0.757725000000002,-5.1779375,4.75495869059499,0.00133360993053506,0.369152337690414,-0.742159369204209,"CA9"
"A_23_P43350",0.589125000000001,-5.0384375,4.75114857078574,0.00134028658927484,0.369152337690414,-0.746065398309805,"MLANA"
"A_23_P257307",0.901675,-4.3046125,4.74434338693158,0.00135230204940322,0.369152337690414,-0.75304870815737,"SERPINA7"
"A_23_P62099",1.086775,-5.1335625,4.73724995262094,0.00136495094783108,0.369152337690414,-0.760337129513283,"MAGEC2"
"A_23_P111701",0.921424999999999,-8.4883875,4.71841671465778,0.00139916099908366,0.369152337690414,-0.779734226715775,"GNG11"
"A_23_P51376",0.561199999999999,-3.921075,4.70590908587774,0.00142239398654135,0.369152337690414,-0.792653411401506,"NKAIN1"
"A_33_P3232945",0.72234175,-0.309299125,4.70191952574679,0.00142989234507124,0.369152337690414,-0.796780474967058,"F2RL1"
"A_23_P99996",0.48104,-0.60286,4.70002522957884,0.00143346766138913,0.369152337690414,-0.798741114788515,"MAGEL2"
"A_23_P103812",0.5569985,-0.24040825,4.6865965524212,0.00145909268785771,0.369152337690414,-0.812659588096144,"FAM5C"
"A_23_P10647",0.539,-3.052275,4.68607423137025,0.00146009937870898,0.369152337690414,-0.81320165042443,"CYTL1"
"A_24_P252996",0.645025,-3.0888875,4.6815495715047,0.00146885151693081,0.369152337690414,-0.817899484605917,"FOLR3"
"A_23_P64121",0.871125,-2.5791375,4.66539886519171,0.00150055888372575,0.369152337690414,-0.834699978167461,"C11orf41"
"A_23_P63432",1.068875,-1.9851125,4.65877896533999,0.00151376884439178,0.369152337690414,-0.841600504254217,"RHBDL2"
"A_33_P3396891",0.540549999999999,-2.56715,4.6555951375218,0.00152016697825284,0.369152337690414,-0.844922258506616,"AVPI1"
"A_23_P143694",0.5757,-2.0852,4.65266610215481,0.00152607897100107,0.369152337690414,-0.84797988051413,"SOX10"
"A_23_P356494",0.63635,-2.007475,4.64534952285405,0.00154095593548622,0.369152337690414,-0.855624772978498,"SPINK5"
"A_23_P212508",2.0636,-8.546125,4.62697801959207,0.00157900817846039,0.369152337690414,-0.874865427943829,"TF"
"A_24_P401601",0.920474999999999,-6.3437125,4.62336544920449,0.00158660984236914,0.369152337690414,-0.878656445654292,""
"A_23_P114883",0.7085,-3.57985,4.61597054057337,0.00160229429088904,0.369152337690414,-0.88642436228107,"FMOD"
"A_33_P3316884",0.851099,0.6337205,4.6159683100802,0.00160229904697306,0.369152337690414,-0.886426706849447,""
"A_23_P209678",-1.024725,5.4639875,-4.59719293494899,0.00164288073456992,0.369152337690414,-0.906195799765645,"PLEK"
"A_32_P8546",1.309975,-5.8055875,4.59355774395654,0.00165086579305317,0.369152337690414,-0.91003112686389,"LINC00473"
"A_23_P157865",0.666425,-4.9036375,4.58714538260346,0.00166505379116992,0.369152337690414,-0.916802642572469,"TNC"
"A_23_P118065",0.68385,-3.228825,4.58574681875987,0.00166816575531603,0.369152337690414,-0.918280577393223,"HSD17B2"
"A_33_P3825869",0.88325,-3.1801,4.58477992577639,0.00167032088304307,0.369152337690414,-0.91930256057234,"CACNA1C"
"A_23_P48561",0.870374999999999,-5.0987625,4.57880133714519,0.00168371379111404,0.369152337690414,-0.925625733848664,"EFS"
"A_33_P3286684",-1.528075,2.3587375,-4.57777002131022,0.00168603582025355,0.369152337690414,-0.926717178018922,"IKZF1"
"A_33_P3267562",0.510175,-1.9452375,4.57678086030728,0.00168826619348242,0.369152337690414,-0.927764199539393,"VAX2"
"A_23_P106682",0.537849999999999,-7.23795,4.57587625398414,0.00169030870733488,0.369152337690414,-0.928721883185578,"EMP2"
"A_33_P3271051",0.831875,-3.0321625,4.55802215695805,0.00173117368135462,0.375003183463516,-0.947655390367309,"CYTH3"
"A_32_P453321",0.8308,-2.798075,4.53894281981488,0.00177602761576972,0.377081369257952,-0.967955194185662,"C1orf228"
"A_24_P111996",1.1203775,-1.22466125,4.53589990001171,0.00178329677987656,0.377081369257952,-0.971199163200573,"HFE"
"A_33_P3305770",-0.933255,1.0428475,-4.53042649032941,0.00179645321867129,0.377081369257952,-0.977038639302132,"NBR1"
"A_24_P185709",1.064275,-2.8151625,4.52896019513254,0.0017999955556937,0.377081369257952,-0.978603969118572,"EPB41L1"
"A_23_P117363",0.490774999999999,-3.4772625,4.52420707445325,0.00181153037325544,0.377081369257952,-0.983680929791391,"SERPINA6"
"A_23_P166431",0.601,-1.437825,4.50768077659685,0.00185226248701497,0.382029334031348,-1.00136663844624,"C22orf24"
"A_33_P3316118",0.4826225,0.58133625,4.49628790982946,0.00188091842538103,0.382029334031348,-1.01358902455671,"SNAP91"
"A_23_P205031",0.47625,-4.35345,4.4937143729652,0.00188745765394262,0.382029334031348,-1.01635335969631,"COL4A2"
"A_24_P304311",-0.692025,1.8748625,-4.49167621107729,0.00189265395932059,0.382029334031348,-1.01854352177094,"SLC22A8"
"A_23_P101871",0.581900000000001,-3.24885,4.46393503199078,0.00196493883463272,0.390911380426543,-1.04843211451358,"FBXO17"
"A_33_P3265514",0.5329,-1.8193,4.45463389890339,0.00198983800977224,0.390911380426543,-1.05848599864023,"TPTE"
"A_23_P212696",0.502924999999999,-6.0599375,4.45187894744352,0.00199727830090533,0.390911380426543,-1.061467069288,"FSTL1"
"A_33_P3507542",0.519824999999999,-4.9382625,4.44345043311448,0.00202022839376931,0.390911380426543,-1.07059633537646,"LEPREL2"
"A_23_P90453",1.1994775,-0.81533625,4.44268466597477,0.00202232758088318,0.390911380426543,-1.0714264381938,"KRTDAP"
"A_32_P205110",1.256475,-3.3529125,4.44182485468541,0.00202468737797864,0.390911380426543,-1.07235861911843,"FOXC1"
"A_23_P383258",0.833125,-1.7813125,4.42735713246337,0.00206484405996741,0.394772897887222,-1.08806515723145,"GDA"
"A_33_P3317168",0.441615,-1.0712425,4.42170529610129,0.00208076422602727,0.394772897887222,-1.09421174676402,"EPS8L3"
"A_33_P3531979",0.531425000000001,-4.5225875,4.41731210095538,0.00209323057736547,0.394772897887222,-1.09899370936275,"LOC283352"
"A_23_P116898",1.0801,-9.329825,4.41355564695231,0.00210395404218532,0.394772897887222,-1.10308549272502,"A2M"
"A_33_P3388486",-0.7292,-0.1394075,-4.40260240831262,0.00213556200136477,0.397901496254285,-1.11503180844217,"LOC100129518"
"A_23_P136116",0.9081175,-0.79056625,4.39651423937404,0.00215335206132025,0.398429946679283,-1.12168181851511,"AGMO"
"A_33_P3410251",-0.574772,-0.0833315,-4.38844061685449,0.0021771908695378,0.399568655489585,-1.13051136788062,"UNC80"
"A_23_P74205",-1.256,-0.40821,-4.37890048006869,0.00220572751219185,0.399568655489585,-1.14096069742125,""
"A_23_P134204",1.080525,-3.1836375,4.37533589378188,0.00221649332066236,0.399568655489585,-1.14486943055172,"FAM71F1"
"A_33_P3228892",1.0993025,-1.63917375,4.36420705843812,0.00225047115000424,0.399568655489585,-1.15708823315437,"LOC100130370"
"A_23_P155979",0.6272075,-1.08312125,4.35236026416591,0.00228725937880526,0.399568655489585,-1.17012114172274,"EGF"
"A_33_P3397658",0.90905,-1.9594,4.35095138567728,0.00229167738590372,0.399568655489585,-1.17167285046801,"SYNPO"
"A_33_P3223687",1.515475,-3.1269375,4.34631431552167,0.00230628357536543,0.399568655489585,-1.17678267990644,"C8orf22"
"A_33_P3421923",0.7300975,-1.51537625,4.33793616945809,0.00233292886171911,0.399568655489585,-1.18602533697906,"CADM3"
"A_23_P89431",0.453849999999999,-4.6622,4.33649297076323,0.00233755213392662,0.399568655489585,-1.18761879814002,"CCL2"
"A_23_P217570",1.407775,-2.6752375,4.33426373344446,0.00234471289821836,0.399568655489585,-1.1900809145376,"CAPN6"
"A_23_P127948",0.70005,-7.016275,4.32732166096879,0.00236716416166158,0.399568655489585,-1.19775423116467,"ADM"
"A_24_P200000",0.6432525,-1.33632375,4.32042611060249,0.00238969456166469,0.399568655489585,-1.20538516771043,"STEAP3"
"A_23_P90273",0.504599999999999,-1.75185,4.31581642946427,0.00240488500391811,0.399568655489585,-1.21049147977457,"CHST8"
"A_33_P3231645",-0.47148,0.6483125,-4.30846236680305,0.00242933497937205,0.399568655489585,-1.21864617662805,""
"A_33_P3263890",1.038325,-6.7923125,4.30425809563135,0.00244343312408242,0.399568655489585,-1.223312766755,"PRRX1"
"A_23_P205713",0.539425,-2.4651125,4.3036515311241,0.00244547437842239,0.399568655489585,-1.22398630785331,"STXBP6"
"A_23_P207345",1.3127375,-1.39073125,4.29968377574964,0.00245887236085534,0.399568655489585,-1.22839389910397,"ADAM11"
"A_23_P389371",1.38416,-1.91097,4.29268188283883,0.00248270909654774,0.399568655489585,-1.23617923902561,"MRGPRX3"
"A_23_P349416",0.470675000000001,-2.4398625,4.28877830286588,0.00249610615333081,0.399568655489585,-1.24052362133886,"ERBB3"
"A_23_P103011",0.51745,-1.7018,4.2869996484224,0.00250223629174488,0.399568655489585,-1.2425040820937,"RAB36"
"A_32_P200238",0.835325,-4.5767125,4.28646095957127,0.0025040960829649,0.399568655489585,-1.24310400870927,"UCA1"
"A_33_P3389286",0.458525,-5.0638625,4.28513304494422,0.00250868699200663,0.399568655489585,-1.24458311415651,"SFN"
"A_33_P3772937",0.428274999999999,-4.6483875,4.28433207467111,0.00251146051542203,0.399568655489585,-1.24547544082983,"KRT8P12"
"A_24_P231546",0.39885,-1.3921,4.28203756063612,0.0025194240400184,0.399568655489585,-1.24803233230974,"FAM178B"
"A_32_P89827",-0.50556,0.6525025,-4.27075077076083,0.00255899483754697,0.400570183938148,-1.26062425768738,"TPTE2P6"
"A_33_P3334828",-0.620425000000001,3.1974125,-4.26658381391203,0.00257377267866368,0.400570183938148,-1.26527914196426,"INSL3"
"A_33_P3254708",0.4905175,0.21958875,4.26121343498211,0.00259295407092546,0.400570183938148,-1.2712832010743,"ARHGAP40"
"A_32_P132860",-1.089925,7.4027875,-4.25571934626837,0.00261273670831494,0.400570183938148,-1.27743120446143,"UNQ6494"
"A_33_P3394517",-0.7257125,-0.27293625,-4.25364231659134,0.00262025777452847,0.400570183938148,-1.27975693007534,"SMG1"
"A_23_P405873",-0.7149385,-0.03121425,-4.24957637267298,0.00263504839840548,0.400570183938148,-1.28431207292485,"C9orf72"
"A_33_P3380523",0.3927465,-0.30511675,4.24495091360198,0.00265198372726422,0.400570183938148,-1.28949784358732,"PRTFDC1"
"A_23_P106117",0.681375000000001,-3.5556375,4.24186710054876,0.00266333965921755,0.400570183938148,-1.29295746175978,"SIX6"
"A_24_P365767",1.6924,-3.978375,4.23666423868577,0.00268261766732201,0.400570183938148,-1.29879843062157,"CYBB"
"A_23_P46039",0.935025,-2.1608375,4.23519410864183,0.0026880920720783,0.400570183938148,-1.30044979042751,"FCRLA"
"A_23_P216023",0.482025,-2.5573875,4.23438374511255,0.002691114807271,0.400570183938148,-1.30136022547337,"ANGPT1"
"A_33_P3228460",0.57305,-3.614325,4.2219477310752,0.00273796406654372,0.403564578442563,-1.31534748481663,"FXYD3"
"A_33_P3381671",0.7382965,-0.00545925,4.2210119044483,0.00274152487232037,0.403564578442563,-1.31640122375084,"LOC731424"
"A_23_P85218",0.769375,-3.3420125,4.2148182929212,0.00276521745136631,0.404815680078044,-1.32337937654106,"SOX3"
"A_32_P196263",1.0547,-3.411025,4.20660953697684,0.00279695866285538,0.407224954170048,-1.33263906042633,"ADAMTS9"
"A_23_P128808",-0.45675,2.536725,-4.19873447501955,0.00282777818385162,0.408813165956159,-1.34153424580396,"GPR132"
"A_23_P106016",0.498275,-1.8191875,4.19600275199125,0.00283855410981419,0.408813165956159,-1.34462255673147,"PRKD1"
"A_32_P180741",0.9107675,-0.42433125,4.18442554376692,0.00288471580035853,0.409372857893274,-1.35772657461871,"TNK2"
"A_23_P46429",1.150325,-7.4563125,4.17990056124953,0.00290297707713399,0.409372857893274,-1.36285515870289,"CYR61"
"A_33_P3299066",0.5561225,-0.83292375,4.17918780381948,0.00290586483511677,0.409372857893274,-1.3636633435711,"NR4A2"
"A_23_P100660",0.692525000000001,-4.7171375,4.17708466072923,0.00291440379915885,0.409372857893274,-1.36604862159963,"SERPINF1"
"A_23_P218111",0.878724999999999,-5.0495125,4.17589080080812,0.0029192629860277,0.409372857893274,-1.36740300628494,"SERPINA1"
"A_33_P3626301",-1.0828845,0.92308275,-4.1691206767346,0.00294698365167811,0.409629296940049,-1.3750884907768,"DPY19L2P3"
"A_24_P52697",0.56355,-2.59045,4.16441872093678,0.00296640252496102,0.409629296940049,-1.38043123770305,"H19"
"A_33_P3531373",0.731985,-1.2505075,4.16411264294739,0.00296767137310912,0.409629296940049,-1.38077917227528,"LOC340340"
"A_23_P214026",0.5259675,-1.07889125,4.16052480909592,0.00298258833532388,0.409629296940049,-1.38485895680611,"FBN2"
"A_33_P3285629",-1.11905,2.786225,-4.15430401943524,0.00300864354864211,0.409771780269537,-1.3919384359086,"DNAI2"
"A_24_P269062",1.140775,-3.6045625,4.15247592598877,0.00301634677794161,0.409771780269537,-1.39402024927954,"SPRY4"
"A_23_P120243",0.41245,-1.30575,4.14851088227978,0.00303312763597576,0.409771780269537,-1.39853774960551,"HOXD1"
"A_32_P200308",0.832250000000001,-4.129025,4.14568610451284,0.00304514384076596,0.409771780269537,-1.40175790403181,"LOC728724"
"A_33_P3230166",0.854575,-3.3895875,4.14134266791774,0.00306372010740961,0.410199791667445,-1.40671219325392,"NALCN"
"A_23_P91552",0.925650000000001,-4.829625,4.135383854544,0.00308940346860175,0.411570330087125,-1.41351478451444,"FTCD"
"A_24_P314534",-0.64885325,0.072308375,-4.12803643761435,0.00312139078007301,0.413762865394355,-1.42191174655536,"KRTAP13-2"
"A_23_P68031",-0.815525,5.9257625,-4.12102582085182,0.00315224367114996,0.415784061258017,-1.42993320042591,"STAT4"
"A_32_P31618",0.64945225,0.212091375,4.10819151014438,0.00320957784594233,0.419805938307298,-1.44464181463368,"GSR"
"A_33_P3349637",0.47455,-2.1259,4.10710933169691,0.00321446315084232,0.419805938307298,-1.44588343710265,"PCDH1"
"A_32_P75902",0.46255,-3.37305,4.10190617431295,0.00323806362681841,0.419805938307298,-1.45185625505353,"C16orf73"
"A_23_P399078",0.551975,-4.5942875,4.09172761286352,0.00328477115048963,0.419805938307298,-1.46355502735172,"TIMP3"
"A_33_P3296852",-0.79150075,-0.711697125,-4.08174099483047,0.00333130139345885,0.419805938307298,-1.4750519230182,""
"A_23_P104741",0.420875,-1.3806875,4.08079673625587,0.00333573740301039,0.419805938307298,-1.4761399413441,"KIRREL3"
"A_33_P3332329",0.855812499999999,-1.54211875,4.07363722015216,0.003369578871115,0.419805938307298,-1.48439485527878,"LOC120824"
"A_24_P183664",0.697575,-2.6677625,4.05255211440851,0.00347140115434204,0.419805938307298,-1.50876120535761,"TRIL"
"A_33_P3745146",-1.79732375,0.013440625,-4.04981607835594,0.00348485382173512,0.419805938307298,-1.51192905889655,"CADM1"
"A_23_P45955",0.865156475,-0.3833567625,4.04496626731055,0.0035088371775297,0.419805938307298,-1.51754770001686,"TEKT2"
"A_33_P3222228",0.57699075,-0.544577125,4.04046352693195,0.00353126269842961,0.419805938307298,-1.52276814445713,"FUT6"
"A_33_P3257861",0.431375,-2.8054625,4.03907978814465,0.00353818512722358,0.419805938307298,-1.52437319401812,"SARDH"
"A_33_P3269049",0.553789,0.3787305,4.03838365137473,0.00354167319014145,0.419805938307298,-1.52518080247247,""
"A_33_P3297150",-0.4622525,0.65941125,-4.0317302727526,0.0035751972321368,0.419805938307298,-1.5329040964969,""
"A_33_P3317483",0.79923325,0.290440875,4.03054151364246,0.00358122271372866,0.419805938307298,-1.5342848780984,"CEMP1"
"A_33_P3402565",1.18835,-6.622175,4.02938367346427,0.0035871019428078,0.419805938307298,-1.53562999712027,"DSP"
"A_33_P3348194",-0.95786,-1.03938,-4.02920701284655,0.00358799989161849,0.419805938307298,-1.53583525407212,""
"A_32_P34003",0.793975000000001,-2.8556875,4.02500331272931,0.00360943813385166,0.419805938307298,-1.54072111250053,"FIGN"
